iter	Passed	Remaining
0	1	196
1	3	191
2	6	199
3	7	181
4	8	170
5	10	166
6	11	154
7	12	144
8	14	147
9	16	146
10	17	144
11	19	142
12	20	136
13	21	134
14	23	132
15	24	130
16	26	128
17	27	127
18	28	123
19	30	122
20	31	119
21	33	118
22	35	117
23	36	116
24	38	114
25	39	113
26	41	112
27	43	111
28	45	110
29	46	109
30	48	108
31	49	105
32	51	104
33	52	101
34	53	98
35	54	96
36	55	94
37	57	93
38	58	91
39	60	90
40	61	88
41	62	85
42	62	83
43	64	81
44	65	79
45	66	78
46	68	76
47	69	75
48	70	73
49	72	72
50	73	70
51	75	69
52	76	67
53	77	66
54	78	64
55	79	62
56	80	60
57	81	59
58	83	57
59	83	55
60	84	54
61	86	52
62	87	51
63	88	49
64	90	48
65	91	46
66	92	45
67	93	43
68	93	42
69	94	40
70	95	39
71	96	37
72	97	36
73	98	34
74	99	33
75	100	31
76	101	30
77	102	28
78	103	27
79	104	26
80	105	24
81	106	23
82	107	22
83	108	20
84	109	19
85	110	17
86	110	16
87	111	15
88	112	13
89	113	12
90	114	11
91	115	10
92	116	8
93	117	7
94	118	6
95	119	4
96	120	3
97	121	2
98	121	1
99	123	0
