iter	Passed	Remaining
0	118	118689
1	120	60096
2	121	40521
3	123	30662
4	124	24741
5	125	20779
6	126	17910
7	127	15870
8	128	14204
9	130	12870
10	131	11800
11	132	10878
12	133	10110
13	134	9447
14	135	8927
15	137	8433
16	138	7986
17	138	7583
18	139	7225
19	141	6916
20	143	6675
21	144	6419
22	145	6179
23	146	5967
24	148	5775
25	149	5595
26	150	5432
27	151	5269
28	153	5146
29	155	5012
30	156	4882
31	157	4752
32	158	4635
33	159	4526
34	160	4418
35	161	4322
36	162	4231
37	163	4142
38	164	4052
39	165	3974
40	166	3898
41	167	3830
42	168	3759
43	169	3688
44	170	3621
45	171	3560
46	172	3502
47	173	3446
48	174	3389
49	175	3334
50	176	3282
51	177	3233
52	178	3187
53	179	3143
54	180	3103
55	181	3059
56	182	3018
57	183	2976
58	184	2938
59	185	2904
60	186	2868
61	187	2833
62	188	2799
63	189	2767
64	190	2737
65	191	2708
66	192	2677
67	193	2649
68	194	2621
69	195	2594
70	196	2569
71	197	2543
72	198	2521
73	199	2502
74	200	2475
75	201	2452
76	202	2428
77	203	2408
78	204	2388
79	205	2368
80	206	2346
81	207	2327
82	208	2304
83	209	2288
84	210	2269
85	211	2250
86	212	2231
87	213	2213
88	214	2193
89	215	2175
90	216	2158
91	217	2142
92	217	2124
93	218	2108
94	219	2092
95	220	2075
96	221	2061
97	222	2046
98	223	2032
99	224	2018
100	225	2003
101	225	1989
102	226	1974
103	227	1961
104	228	1950
105	229	1937
106	230	1924
107	231	1910
108	232	1898
109	233	1885
110	233	1873
111	235	1864
112	236	1853
113	237	1842
114	237	1831
115	238	1819
116	239	1806
117	240	1797
118	241	1787
119	242	1777
120	243	1767
121	244	1756
122	244	1746
123	245	1735
124	246	1726
125	247	1717
126	248	1707
127	249	1699
128	250	1689
129	250	1679
130	251	1670
131	252	1660
132	253	1653
133	254	1645
134	255	1637
135	256	1628
136	257	1619
137	257	1610
138	258	1602
139	259	1595
140	260	1588
141	261	1578
142	262	1570
143	262	1562
144	263	1554
145	264	1546
146	265	1539
147	266	1533
148	267	1526
149	268	1521
150	269	1515
151	270	1508
152	271	1501
153	272	1495
154	273	1490
155	274	1483
156	275	1477
157	275	1469
158	276	1463
159	277	1456
160	278	1449
161	279	1444
162	280	1438
163	281	1433
164	282	1427
165	282	1421
166	283	1415
167	284	1410
168	285	1404
169	286	1399
170	287	1394
171	288	1388
172	289	1383
173	290	1378
174	291	1373
175	292	1368
176	293	1363
177	294	1358
178	295	1353
179	296	1348
180	297	1344
181	298	1340
182	299	1336
183	300	1331
184	301	1326
185	302	1321
186	303	1317
187	303	1313
188	305	1308
189	306	1304
190	306	1299
191	307	1295
192	308	1290
193	309	1285
194	310	1282
195	311	1278
196	312	1275
197	313	1271
198	314	1267
199	315	1263
200	317	1260
201	318	1256
202	319	1252
203	320	1249
204	320	1244
205	321	1240
206	322	1237
207	324	1233
208	325	1230
209	325	1226
210	326	1222
